;;HDI ;;Life.exp;;Exp.school;;Mean.school;;GNI;;GNI .HDI;
HDI.rank;Country;Value;;(2011 PPP $);;;
1;Norway;0,944;;81,6;;17,5;;12,6;b;64 992;;5;
2;Australia;0,935;;82,4;;20,2;c;13,0;;42 261;;17;
3;Switzerland;0,930;;83,0;;15,8;;12,8;;56 431;;6;
4;Denmark;0,923;;80,2;;18,7;c;12,7;;44 025;;11;
5;Netherlands;0,922;;81,6;;17,9;;11,9;;45 435;;9;
6;Germany;0,916;;80,9;;16,5;;13,1;d;43 919;;11;
6;Ireland;0,916;;80,9;;18,6;c;12,2;e;39 568;;16;
8;United States;0,915;;79,1;;16,5;;12,9;;52 947;;3;
9;Canada;0,913;;82,0;;15,9;;13,0;;42 155;;11;
9;New Zealand;0,913;;81,8;;19,2;c;12,5;b;32 689;;23;
11;Singapore;0,912;;83,0;;15,4;f;10,6;e;76 628;g;-7;
12;Hong Kong, China (SAR);0,910;;84,0;;15,6;;11,2;;53 959;;-2;
13;Liechtenstein;0,908;;80,0;h;15,0;;11,8;i;79 851;g,j;-10;
14;Sweden;0,907;;82,2;;15,8;;12,1;;45 636;;-1;
14;United Kingdom;0,907;;80,7;;16,2;;13,1;d;39 267;;9;
16;Iceland;0,899;;82,6;;19,0;c;10,6;e;35 182;;12;
17;Korea (Republic of);0,898;;81,9;;16,9;;11,9;e;33 890;;13;
18;Israel;0,894;;82,4;;16,0;;12,5;;30 676;;16;
19;Luxembourg;0,892;;81,7;;13,9;;11,7;;58 711;;-11;
20;Japan;0,891;;83,5;;15,3;;11,5;e;36 927;;7;
21;Belgium;0,890;;80,8;;16,3;;11,3;d;41 187;;0;
22;France;0,888;;82,2;;16,0;;11,1;;38 056;;4;
23;Austria;0,885;;81,4;;15,7;;10,8;d;43 869;;-5;
24;Finland;0,883;;80,8;;17,1;;10,3;e;38 695;;0;
25;Slovenia;0,880;;80,4;;16,8;;11,9;;27 852;;12;
26;Spain;0,876;;82,6;;17,3;;9,6;;32 045;;7;
27;Italy;0,873;;83,1;;16,0;;10,1;d;33 030;;4;
28;Czech Republic;0,870;;78,6;;16,4;;12,3;;26 660;;10;
29;Greece;0,865;;80,9;;17,6;;10,3;;24 524;;14;
30;Estonia;0,861;;76,8;;16,5;;12,5;e;25 214;;12;
31;Brunei Darussalam;0,856;;78,8;;14,5;;8,8;e;72 570;k;-26;
32;Cyprus;0,850;;80,2;;14,0;;11,6;;28 633;;3;
32;Qatar;0,850;;78,2;;13,8;l;9,1;;123 124;g;-31;
34;Andorra;0,845;;81,3;h;13,5;f;9,6;m;43 978;n;-18;
35;Slovakia;0,844;;76,3;;15,1;;12,2;d;25 845;;5;
36;Poland;0,843;;77,4;;15,5;;11,8;;23 177;;10;
37;Lithuania;0,839;;73,3;;16,4;;12,4;;24 500;;7;
37;Malta;0,839;;80,6;;14,4;;10,3;;27 930;;-1;
39;Saudi Arabia;0,837;;74,3;;16,3;;8,7;d;52 821;;-27;
40;Argentina;0,836;;76,3;;17,9;;9,8;d;22 050;k;11;
41;United Arab Emirates;0,835;;77,0;;13,3;o;9,5;d;60 868;;-34;
42;Chile;0,832;;81,7;;15,2;;9,8;;21 290;;11;
43;Portugal;0,830;;80,9;;16,3;;8,2;;25 757;;-2;
44;Hungary;0,828;;75,2;;15,4;;11,6;d;22 916;;3;
45;Bahrain;0,824;;76,6;;14,4;p;9,4;b;38 599;;-20;
46;Latvia;0,819;;74,2;;15,2;;11,5;d;22 281;;4;
47;Croatia;0,818;;77,3;;14,8;;11,0;;19 409;;11;
