"";"Country";"HDI";"Life.exp";"Exp.school.";"Mean.school";"GNI";"HDI.FM";"Life.expFM";"Exp.SchoolFM";"Mean.SchoolFM";"Est.GNIFM";"Edu2.FM";"Labour.FM";"fert";"mean04";"mean.length";"child.mort"
"1";"Afghanistan";0,465264260207532;60,4;9,27439;3,23;1885,32907;0,599811835165383;1,04054054054054;0,639354481783638;0,226120857699805;0,156728995639126;0,197112155809268;0,198742140880503;4,68;36,841552059504;3;171
"2";"Albania";0,732765802641622;77,8;11,82;9,255580902;9942,855635;0,947949419565457;1,06631299734748;1,00680680120579;0,919743490894922;0,570276877376037;0,930707490100875;0,68549620610687;1,78;11,6924048394;17;27
"3";"Algeria";0,735623767134645;74,8;13,96534;7,611;13054,30628;0,836776775736371;1,0648275862069;1,03160614639915;0,624999999919415;0,177131370126253;0,859536082474227;0,210526322058609;2,76;0,476547457408855;21;68
"4";"Angola";0,531591421824396;52,3;11,39;4,726362;6821,686568;NA;1,05905511811024;0,622165084388186;NA;0,672889762727981;NA;0,823146917623922;5,75;10,1563765879184;20;41
"5";"Antigua and Barbuda";0,783367264384529;76,1;13,95383;9,2361755;20070,32342;NA;1,06802721088435;1,09373573539304;NA;NA;NA;NA;2,08;1,33724990193194;21;157
"6";"Argentina";0,835572018229568;76,3;17,94733;9,834001245;22049,59416;0,98228791014022;1,10635359116022;1,13390502416331;1,00105596620553;0,469681572093875;0,977781635132789;0,633333333333333;2,16;0,0841587170997391;21;20
"7";"Armenia";0,732982583044665;74,7;12,31785;10,87;8123,557691;1,008133580492;1,10860366713681;1,2144980727468;0,996323529411765;0,598857368727896;0,98979054836333;0,746556500273206;1,42;9,88026496488218;14;31
"8";"Australia";0,934958250222263;82,4;20,22107;12,96338081;42260,61295;0,975715806012341;1,05230386052304;1,05069420433425;1,01659094214989;0,661669515180162;0,99636238430596;0,818941457678015;1,88;NA;0;82
"9";"Austria";0,885027260021308;81,4;15,74653;10,83443082;43869,2871;0,942523792970874;1,06345177664975;1,03969931587953;0,828729281646286;0,503133938479269;0,99999990000001;0,806499276220794;1,48;NA;0;82
"10";"Azerbaijan";0,751139173537414;70,8;11,94018;11,16;16427,91563;0,941648953449093;1,0930576070901;0,982554971978327;0,934489858961085;0,443602051712973;0,962264288501427;0,903735673212694;1,91;3,57273115912547;12;88
"11";"Bahamas";0,789958059512219;75,4;12,56891;10,94454861;21336,42051;NA;1,08298755186722;NA;1,03869263475262;0,715978885409326;1,04087059775781;0,873896600137712;1,88;0,134319933621655;12;18
"12";"Bahrain";0,823921956812207;76,6;14,4;9,419;38598,50765;0,940035219913197;1,02374670184697;1,1021897810219;0,944826297319185;0,401652609282484;1,1028982688193;0,451093212006446;2,05;1,82274303367766;21;134
"13";"Bangladesh";0,57009997440545;71,6;9,97506;5,073080011;3191,497765;0,916636706771357;1,03551136363636;1,05551077302877;0,81651376146789;0,55781303838558;0,824497700314694;0,682520838570526;2,15;4,28832571501728;21;94
"14";"Barbados";0,785458412902638;75,6;15,42006;10,45693616;12487,58331;1,01847554541204;1,0655737704918;1,24199006126715;1,03275109168812;0,695102453551013;1,02075256556442;0,860313352356006;1,85;0,271535297061784;21;22
"15";"Belarus";0,79836651789255;71,3;15,66023;11,97681;16676,09012;1,02068692424898;1,17862595419847;1,06999952450013;0,980935369779967;0,615064785290154;0,943470685457141;0,793977808097729;1,5;NA;0;102
"16";"Belgium";0,890262992237101;80,8;16,33158;11,27326393;41187;0,974719005383383;1,06257982120051;1,04111529389712;0,956442831219249;0,626982248072599;0,93511886850685;0,801011815190716;1,86;NA;0;98
"17";"Belize";0,714982234811716;70;13,551;10,48802948;7613,90541;0,957716546460457;1,08160237388724;1,05058472012103;1,00100067824808;0,493617145973908;1,00817280596989;0,597812866911059;2,64;5,1956715622719;21;42
"18";"Benin";0,479635110400558;59,6;11,06991;3,3;1766,947029;0,822919062941924;1,04991394148021;0,74326202707396;0,452747252747253;0,730631102481711;0,416789940828402;0,863346051387321;4,77;11,7093366844008;21;9
"19";"Bhutan";0,605184587949222;69,5;12,62022;3,01;7175,502908;0,896987371004669;1,00722543352601;1,01523426863479;0,478758354636408;0,681068916647665;0,984031826226208;0,863989631844143;2,19;18,8388357477077;21;89
"20";"Bosnia and Herzegovina";0,732530325844487;76,5;13,6;8,3262129;9637,776782;NA;1,06756756756757;NA;0,761683418184272;0,504533600692092;0,643114631153618;0,595113420176104;1,3;21,8312941592333;11;133
"21";"Botswana";0,69791874265797;64,5;12,49301;8,87;16646,22538;0,98227284089373;1,07568438003221;1,01343499411488;0,958057395143488;0,838772727326355;0,945664739884393;0,881127485559942;2,58;3,49763582688769;21;127
"22";"Brazil";0,755291955805556;74,5;15,19340264;7,66;15174,96721;0,997345738751709;1,10749646393211;1,0489934335477;1,04863918568361;0,597002961875577;1,04227902500808;0,735148505210887;1,79;0,0406251925563581;21;23
"23";"Bulgaria";0,781675314080213;74,2;14,35479;10,56554948;15596,02718;0,991294640149609;1,09745762711864;1,03263997101437;1,01060070675099;0,65769023422508;0,971675783240235;0,81186443220339;1,56;NA;0;10
"24";"Burkina Faso";0,402287572762056;58,7;7,77041;1,373855;1590,697013;0,8810350240097;1,04537521815009;0,90690900875015;0,516789186357139;0,712685133907339;0,282545566882916;0,85666665;5,52;14,1228052835994;21;170
"25";"Burundi";0,399928328530474;56,7;10,10505;2,686;758,1799101;0,911293797540428;1,07116788321168;0,895925677523783;0,720257234726688;0,839197543945499;0,633853541416567;1,01585369634146;5,94;19,6804644476901;21;163
"26";"Cambodia";0,554758321299132;68,4;10,90489;4,36901;2948,933581;0,889648460372702;1,0619335347432;0,89180475024286;0,588454376163873;0,744360605625013;0,429816913687881;0,910982694797688;2,83;8,56740876900537;16;86
"27";"Cameroon";0,511806528138551;55,5;10,39801;5,96;2803,413068;0,879095463255814;1,04227941176471;0,849231188037777;0,788922155688623;0,678452344816131;0,612338593974175;0,830729122717965;4,7;4,51007392291487;21;169
"28";"Canada";0,913178984420728;82;15,875;13,00416198;42155,00562;0,981557958172019;1,05;1,05295453869879;1,00638467698859;0,660470754615957;1,00000010000001;0,867605612676056;1,68;NA;0;116
"29";"Central African Republic";0,350131067617464;50,7;7,24332;4,224099;580,731815;0,773252607820751;1,07786885245902;0,684199284207643;0,483615621786133;0,690116709721905;0,378368263473054;0,853113980959706;4,28;12,7153695479021;21;25
"30";"Chad";0,391905716938424;51,6;7,39976;1,928899;2085,338961;0,76752115483957;1,04356435643564;0,656129436377144;0,339499603383311;0,659220025009081;0,168556112849485;0,808080839710235;6,15;14,3016240348163;21;33
"31";"Chile";0,832178477211409;81,7;15,24619;9,786924362;21290,1504;0,96691206524109;1,07506361323155;1,02694373590207;0,978116044361881;0,526288657692756;0,959459045454426;0,657753994130516;1,81;0,176015397844786;21;156
"32";"China";0,727494941192669;75,8;13,07282;7,54;12547,03385;0,943120574087717;1,04037685060565;1,02054685544986;0,836075563680683;0,684544356115295;0,816180439752176;0,816091940869923;1,56;0,371906362303289;21;11
"33";"Colombia";0,720170399971798;74;13,54554;7,349983663;12040,24866;0,997207996380263;1,10212765957447;1,04602508880458;1,01076254241548;0,680863779703819;1,02346802782834;0,700125487708771;2,26;0,281959932928064;21;39
"34";"Comoros";0,503183524423493;63,3;11,49734;4,601552;1455,776688;0,813439684305979;1,05519480519481;0,931818182029041;0,655494212357008;0,366593569606179;NA;0,439450704858627;4,65;19,51383714103;21;154
"35";"Costa Rica";0,765746904700121;79,4;13,86196;8,367648125;13413,37683;0,97380935736174;1,06363636363636;1,06356800026177;1,00677997406987;0,568301912064927;1,00550973743069;0,589873398734177;1,78;1,68715308643849;21;168
"36";"Croatia";0,817539869013173;77,3;14,80786;11,02670097;19409,48589;0,986641933422168;1,08918918918919;1,08655409657433;0,905975215949077;0,70889800620655;0,907861907747289;0,765410952943212;1,51;0,348866942835075;12;101
"37";"Cuba";0,769011135126391;79,4;13,82581;11,51362;7301,039053;0,953763344097975;1,05297157622739;1,08925948791021;0,981380093981195;0,508225851926483;0,943386646356943;0,620000021428571;1,45;0,174714839873232;21;119
"38";"Cyprus";0,849745435104918;80,2;13,96636;11,61928463;28632,73467;0,97140290728293;1,05641025641026;1,02988744284462;0,966012971348248;0,657367754962367;0,930343504442526;0,7876230827206;1,46;0,743104097485067;13;80
"39";"Czech Republic";0,870090820750014;78,6;16,39;12,32;26660,2795;0,979521064987018;1,07661822985469;1,06467422853241;0,969927455178805;0,593062726100663;1,00127473189423;0,748169783025969;1,58;NA;0;80
"40";"Denmark";0,923327926047681;80,2;18,68933;12,72938824;44025,48217;0,976778233809253;1,04980842911877;1,06909439582863;1,01198264914301;0,704461774751568;0,989490217554982;0,88403613665581;1,88;NA;0;81
"41";"Djibouti";0,470442735444082;62;6,39402;3,843;3276,21724;NA;1,0546357615894;0,852840641292446;NA;0,446336194041949;NA;0,536189082159323;3,32;17,0243423933441;14;141
"42";"Dominican Republic";0,71502847209969;73,5;13,08336;7,56;11882,70471;0,994888239351067;1,08948863636364;1,07459410527184;1,06966751363885;0,594489274942454;1,04646319770577;0,652671758002642;2,45;1,10686027547982;21;87
"43";"Ecuador";0,731674443061735;75,9;14,17201;7,585;10604,89264;0,98010549474584;1,07513661202186;1,04422896930068;0,978540184091946;0,667026291936559;1,01855589490494;0,66142687848154;2,53;1,37615849763311;21;62
"44";"Egypt";0,689948655224713;71,1;13,52824;6,55;10512,42422;0,868036774338056;1,06376811594203;0,965314861332835;0,708333333333333;0,307053054201867;0,723642963207392;0,31684491735001;2,73;4,72320539552661;21;69
"45";"El Salvador";0,665784288496964;73;12,25576;6,514523029;7349,48103;0,9649991544358;1,13323572474378;0,979582248592359;0,888565203554555;0,584448126916156;0,844985184726153;0,605063281012658;2,16;5,06451851168483;21;44
"46";"Equatorial Guinea";0,58656086094597;57,6;8,965;5,48047996;21055,95536;NA;1,04795737122558;NA;0,549937298717347;0,687047921496677;NA;0,875271145480917;4,75;22,484059458089;20;176
"47";"Eritrea";0,39089902333553;63,7;4,1;3,859551;1130,174331;NA;1,06980519480519;NA;NA;0,753372343579511;NA;0,890868566128145;4,61;24,4465996404035;13;111
"48";"Estonia";0,860835015350877;76,8;16,48454;12,48;25214;1,0296788675382;1,12916666666667;1,11798399348905;1,04437140509449;0,68931721967365;1;0,815674884999821;1,61;NA;0;79
"49";"Ethiopia";0,441815954384227;64,1;8,5;2,412325859;1427,671464;0,840206912032669;1,06109324758842;0,888888888888889;0,40447649921678;0,617886162891079;0,427178503889388;0,875699822904038;4,4;10,4400630393931;21;138
"50";"Fiji";0,727135774475926;70;15,7;9,91218949;7492,511041;0,940780106633391;1,08928571428571;1,03317941757764;0,98802875202221;0,403539455432938;0,9955017837754;0,520833333333333;2,56;2,7922929763127;21;65
"51";"Finland";0,882727786825495;80,8;17,06943;10,286;38694,76981;0,996417800672354;1,07179487179487;1,0707380803595;1,00591133004926;0,688006629667221;1;0,8703125125;1,85;NA;0;52
"52";"France";0,888107436522597;82,2;16,00167;11,13314915;38056,35627;0,986802873873798;1,07449494949495;1,04698962052772;0,967537449488328;0,682955592553586;0,937561938467625;0,823051981080811;1,98;NA;0;99
"53";"Gabon";0,683512931952251;64,4;12,49507;7,7998665;16366,92848;NA;1,01880877742947;NA;1,34214618981284;0,705376954898149;1,49197120708749;0,859327209648458;4,03;1,98628378103219;21;125
"54";"Gambia";0,440649497387748;60,2;8,76932;2,82;1507,327346;0,888568949213965;1,04584040747029;0,982104609127881;0,547683923705722;0,722874512339523;0,552096569250318;0,870928776762447;5,72;18,5373207658463;21;151
"55";"Georgia";0,75411864105962;74,9;13,79685;12,11;7164,025639;0,961757076384991;1,10112359550562;1,03433938260166;0,979146702650573;0,502887565785374;0,967608374068272;0,752330241391416;1,82;6,12452862398826;14;19
"56";"Germany";0,916079907698891;80,9;16,45695;13,06677702;43918,53597;0,963000529225753;1,06114649681529;0,981909006052212;0,939672109431086;0,6546364796209;0,992342226280607;0,807228874836697;1,43;NA;0;83
"57";"Ghana";0,579090286681072;61,4;11,50262;6,999;3852,00413;0,885382296554672;1,03145695364238;0,911742524086813;0,709629092483904;0,708884623378155;0,698994437736297;0,942577054427653;3,8;10,1655623792541;21;140
"58";"Greece";0,86518718080572;80,9;17,628;10,26;24524,14614;0,960565609985478;1,07435897435897;1,00853627689805;0,937849516667699;0,541063019167953;0,888217439688976;0,7072000128;1,54;NA;0;98
"59";"Grenada";0,74999317959942;73,4;15,80328;8,552604;10939,006;NA;1,06901408450704;1,06232185230553;NA;NA;NA;NA;2,15;5,57893428502636;19;17
"60";"Guatemala";0,627208787889758;71,8;10,69;5,599730015;6929,192667;0,948700039794571;1,10248901903367;0,932018564860618;0,959023533568657;0,562019193474854;0,943121521044102;0,558956926675357;3,72;1,73490369049433;21;85
"61";"Guinea";0,411281627403836;58,8;8,70075;2,417763;1095,756085;0,778284293928319;1,01543739279588;0,734050819721506;0,368262333455862;0,667458383932967;NA;0,83780326823512;4,83;10,4671955869579;19;174
"62";"Guinea-Bissau";0,419605069662974;55,2;9,0491;2,832866333;1362,353835;NA;1,06741573033708;NA;NA;0,712617987964079;NA;0,868789769426752;4,87;47,0189302330921;21;173
